,Pclass,Age,SibSp,Parch,Fare,C,Q,S,female,male,Survived
0,3,22.0,1,0,7.25,0,0,1,0,1,0
1,1,38.0,1,0,71.2833,1,0,0,1,0,1
2,3,26.0,0,0,7.925,0,0,1,1,0,1
3,1,35.0,1,0,53.1,0,0,1,1,0,1
4,3,35.0,0,0,8.05,0,0,1,0,1,0
5,3,29.69911764705882,0,0,8.4583,0,1,0,0,1,0
6,1,54.0,0,0,51.8625,0,0,1,0,1,0
7,3,2.0,3,1,21.075,0,0,1,0,1,0
8,3,27.0,0,2,11.1333,0,0,1,1,0,1
9,2,14.0,1,0,30.0708,1,0,0,1,0,1
10,3,4.0,1,1,16.7,0,0,1,1,0,1
11,1,58.0,0,0,26.55,0,0,1,1,0,1
12,3,20.0,0,0,8.05,0,0,1,0,1,0
13,3,39.0,1,5,31.275,0,0,1,0,1,0
14,3,14.0,0,0,7.8542,0,0,1,1,0,0
15,2,55.0,0,0,16.0,0,0,1,1,0,1
16,3,2.0,4,1,29.125,0,1,0,0,1,0
17,2,29.69911764705882,0,0,13.0,0,0,1,0,1,1
18,3,31.0,1,0,18.0,0,0,1,1,0,0
19,3,29.69911764705882,0,0,7.225,1,0,0,1,0,1
20,2,35.0,0,0,26.0,0,0,1,0,1,0
21,2,34.0,0,0,13.0,0,0,1,0,1,1
22,3,15.0,0,0,8.0292,0,1,0,1,0,1
23,1,28.0,0,0,35.5,0,0,1,0,1,1
24,3,8.0,3,1,21.075,0,0,1,1,0,0
25,3,38.0,1,5,31.3875,0,0,1,1,0,1
26,3,29.69911764705882,0,0,7.225,1,0,0,0,1,0
27,1,19.0,3,2,263.0,0,0,1,0,1,0
28,3,29.69911764705882,0,0,7.8792,0,1,0,1,0,1
29,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
30,1,40.0,0,0,27.7208,1,0,0,0,1,0
31,1,29.69911764705882,1,0,146.5208,1,0,0,1,0,1
32,3,29.69911764705882,0,0,7.75,0,1,0,1,0,1
33,2,66.0,0,0,10.5,0,0,1,0,1,0
34,1,28.0,1,0,82.1708,1,0,0,0,1,0
35,1,42.0,1,0,52.0,0,0,1,0,1,0
36,3,29.69911764705882,0,0,7.2292,1,0,0,0,1,1
37,3,21.0,0,0,8.05,0,0,1,0,1,0
38,3,18.0,2,0,18.0,0,0,1,1,0,0
39,3,14.0,1,0,11.2417,1,0,0,1,0,1
40,3,40.0,1,0,9.475,0,0,1,1,0,0
41,2,27.0,1,0,21.0,0,0,1,1,0,0
42,3,29.69911764705882,0,0,7.8958,1,0,0,0,1,0
43,2,3.0,1,2,41.5792,1,0,0,1,0,1
44,3,19.0,0,0,7.8792,0,1,0,1,0,1
45,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
46,3,29.69911764705882,1,0,15.5,0,1,0,0,1,0
47,3,29.69911764705882,0,0,7.75,0,1,0,1,0,1
48,3,29.69911764705882,2,0,21.6792,1,0,0,0,1,0
49,3,18.0,1,0,17.8,0,0,1,1,0,0
50,3,7.0,4,1,39.6875,0,0,1,0,1,0
51,3,21.0,0,0,7.8,0,0,1,0,1,0
52,1,49.0,1,0,76.7292,1,0,0,1,0,1
53,2,29.0,1,0,26.0,0,0,1,1,0,1
54,1,65.0,0,1,61.9792,1,0,0,0,1,0
55,1,29.69911764705882,0,0,35.5,0,0,1,0,1,1
56,2,21.0,0,0,10.5,0,0,1,1,0,1
57,3,28.5,0,0,7.2292,1,0,0,0,1,0
58,2,5.0,1,2,27.75,0,0,1,1,0,1
59,3,11.0,5,2,46.9,0,0,1,0,1,0
60,3,22.0,0,0,7.2292,1,0,0,0,1,0
61,1,38.0,0,0,80.0,0,0,1,1,0,1
62,1,45.0,1,0,83.475,0,0,1,0,1,0
63,3,4.0,3,2,27.9,0,0,1,0,1,0
64,1,29.69911764705882,0,0,27.7208,1,0,0,0,1,0
65,3,29.69911764705882,1,1,15.2458,1,0,0,0,1,1
66,2,29.0,0,0,10.5,0,0,1,1,0,1
67,3,19.0,0,0,8.1583,0,0,1,0,1,0
68,3,17.0,4,2,7.925,0,0,1,1,0,1
69,3,26.0,2,0,8.6625,0,0,1,0,1,0
70,2,32.0,0,0,10.5,0,0,1,0,1,0
71,3,16.0,5,2,46.9,0,0,1,1,0,0
72,2,21.0,0,0,73.5,0,0,1,0,1,0
73,3,26.0,1,0,14.4542,1,0,0,0,1,0
74,3,32.0,0,0,56.4958,0,0,1,0,1,1
75,3,25.0,0,0,7.65,0,0,1,0,1,0
76,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
77,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
78,2,0.83,0,2,29.0,0,0,1,0,1,1
79,3,30.0,0,0,12.475,0,0,1,1,0,1
80,3,22.0,0,0,9.0,0,0,1,0,1,0
81,3,29.0,0,0,9.5,0,0,1,0,1,1
82,3,29.69911764705882,0,0,7.7875,0,1,0,1,0,1
83,1,28.0,0,0,47.1,0,0,1,0,1,0
84,2,17.0,0,0,10.5,0,0,1,1,0,1
85,3,33.0,3,0,15.85,0,0,1,1,0,1
86,3,16.0,1,3,34.375,0,0,1,0,1,0
87,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
