,Pclass,Age,SibSp,Parch,Fare,C,Q,S,female,male,Survived
450,2,36.0,1,2,27.75,0,0,1,0,1,0
451,3,29.69911764705882,1,0,19.9667,0,0,1,0,1,0
452,1,30.0,0,0,27.75,1,0,0,0,1,0
453,1,49.0,1,0,89.1042,1,0,0,0,1,1
454,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
455,3,29.0,0,0,7.8958,1,0,0,0,1,1
456,1,65.0,0,0,26.55,0,0,1,0,1,0
457,1,29.69911764705882,1,0,51.8625,0,0,1,1,0,1
458,2,50.0,0,0,10.5,0,0,1,1,0,1
459,3,29.69911764705882,0,0,7.75,0,1,0,0,1,0
460,1,48.0,0,0,26.55,0,0,1,0,1,1
461,3,34.0,0,0,8.05,0,0,1,0,1,0
462,1,47.0,0,0,38.5,0,0,1,0,1,0
463,2,48.0,0,0,13.0,0,0,1,0,1,0
464,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
465,3,38.0,0,0,7.05,0,0,1,0,1,0
466,2,29.69911764705882,0,0,0.0,0,0,1,0,1,0
467,1,56.0,0,0,26.55,0,0,1,0,1,0
468,3,29.69911764705882,0,0,7.725,0,1,0,0,1,0
469,3,0.75,2,1,19.2583,1,0,0,1,0,1
470,3,29.69911764705882,0,0,7.25,0,0,1,0,1,0
471,3,38.0,0,0,8.6625,0,0,1,0,1,0
472,2,33.0,1,2,27.75,0,0,1,1,0,1
473,2,23.0,0,0,13.7917,1,0,0,1,0,1
474,3,22.0,0,0,9.8375,0,0,1,1,0,0
475,1,29.69911764705882,0,0,52.0,0,0,1,0,1,0
476,2,34.0,1,0,21.0,0,0,1,0,1,0
477,3,29.0,1,0,7.0458,0,0,1,0,1,0
478,3,22.0,0,0,7.5208,0,0,1,0,1,0
479,3,2.0,0,1,12.2875,0,0,1,1,0,1
480,3,9.0,5,2,46.9,0,0,1,0,1,0
481,2,29.69911764705882,0,0,0.0,0,0,1,0,1,0
482,3,50.0,0,0,8.05,0,0,1,0,1,0
483,3,63.0,0,0,9.5875,0,0,1,1,0,1
484,1,25.0,1,0,91.0792,1,0,0,0,1,1
485,3,29.69911764705882,3,1,25.4667,0,0,1,1,0,0
486,1,35.0,1,0,90.0,0,0,1,1,0,1
487,1,58.0,0,0,29.7,1,0,0,0,1,0
488,3,30.0,0,0,8.05,0,0,1,0,1,0
489,3,9.0,1,1,15.9,0,0,1,0,1,1
490,3,29.69911764705882,1,0,19.9667,0,0,1,0,1,0
491,3,21.0,0,0,7.25,0,0,1,0,1,0
492,1,55.0,0,0,30.5,0,0,1,0,1,0
493,1,71.0,0,0,49.5042,1,0,0,0,1,0
494,3,21.0,0,0,8.05,0,0,1,0,1,0
495,3,29.69911764705882,0,0,14.4583,1,0,0,0,1,0
496,1,54.0,1,0,78.2667,1,0,0,1,0,1
497,3,29.69911764705882,0,0,15.1,0,0,1,0,1,0
498,1,25.0,1,2,151.55,0,0,1,1,0,0
499,3,24.0,0,0,7.7958,0,0,1,0,1,0
500,3,17.0,0,0,8.6625,0,0,1,0,1,0
501,3,21.0,0,0,7.75,0,1,0,1,0,0
502,3,29.69911764705882,0,0,7.6292,0,1,0,1,0,0
503,3,37.0,0,0,9.5875,0,0,1,1,0,0
504,1,16.0,0,0,86.5,0,0,1,1,0,1
505,1,18.0,1,0,108.9,1,0,0,0,1,0
506,2,33.0,0,2,26.0,0,0,1,1,0,1
507,1,29.69911764705882,0,0,26.55,0,0,1,0,1,1
508,3,28.0,0,0,22.525,0,0,1,0,1,0
509,3,26.0,0,0,56.4958,0,0,1,0,1,1
510,3,29.0,0,0,7.75,0,1,0,0,1,1
511,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
512,1,36.0,0,0,26.2875,0,0,1,0,1,1
513,1,54.0,1,0,59.4,1,0,0,1,0,1
514,3,24.0,0,0,7.4958,0,0,1,0,1,0
515,1,47.0,0,0,34.0208,0,0,1,0,1,0
516,2,34.0,0,0,10.5,0,0,1,1,0,1
517,3,29.69911764705882,0,0,24.15,0,1,0,0,1,0
518,2,36.0,1,0,26.0,0,0,1,1,0,1
519,3,32.0,0,0,7.8958,0,0,1,0,1,0
520,1,30.0,0,0,93.5,0,0,1,1,0,1
521,3,22.0,0,0,7.8958,0,0,1,0,1,0
522,3,29.69911764705882,0,0,7.225,1,0,0,0,1,0
523,1,44.0,0,1,57.9792,1,0,0,1,0,1
524,3,29.69911764705882,0,0,7.2292,1,0,0,0,1,0
525,3,40.5,0,0,7.75,0,1,0,0,1,0
526,2,50.0,0,0,10.5,0,0,1,1,0,1
527,1,29.69911764705882,0,0,221.7792,0,0,1,0,1,0
528,3,39.0,0,0,7.925,0,0,1,0,1,0
529,2,23.0,2,1,11.5,0,0,1,0,1,0
530,2,2.0,1,1,26.0,0,0,1,1,0,1
531,3,29.69911764705882,0,0,7.2292,1,0,0,0,1,0
532,3,17.0,1,1,7.2292,1,0,0,0,1,0
533,3,29.69911764705882,0,2,22.3583,1,0,0,1,0,1
534,3,30.0,0,0,8.6625,0,0,1,1,0,0
535,2,7.0,0,2,26.25,0,0,1,1,0,1
536,1,45.0,0,0,26.55,0,0,1,0,1,0
537,1,30.0,0,0,106.425,1,0,0,1,0,1
538,3,29.69911764705882,0,0,14.5,0,0,1,0,1,0
539,1,22.0,0,2,49.5,1,0,0,1,0,1
540,1,36.0,0,2,71.0,0,0,1,1,0,1
541,3,9.0,4,2,31.275,0,0,1,1,0,0
542,3,11.0,4,2,31.275,0,0,1,1,0,0
543,2,32.0,1,0,26.0,0,0,1,0,1,1
544,1,50.0,1,0,106.425,1,0,0,0,1,0
545,1,64.0,0,0,26.0,0,0,1,0,1,0
546,2,19.0,1,0,26.0,0,0,1,1,0,1
547,2,29.69911764705882,0,0,13.8625,1,0,0,0,1,1
548,3,33.0,1,1,20.525,0,0,1,0,1,0
549,2,8.0,1,1,36.75,0,0,1,0,1,1
550,1,17.0,0,2,110.8833,1,0,0,0,1,1
551,2,27.0,0,0,26.0,0,0,1,0,1,0
552,3,29.69911764705882,0,0,7.8292,0,1,0,0,1,0
553,3,22.0,0,0,7.225,1,0,0,0,1,1
554,3,22.0,0,0,7.775,0,0,1,1,0,1
555,1,62.0,0,0,26.55,0,0,1,0,1,0
556,1,48.0,1,0,39.6,1,0,0,1,0,1
557,1,29.69911764705882,0,0,227.525,1,0,0,0,1,0
558,1,39.0,1,1,79.65,0,0,1,1,0,1
559,3,36.0,1,0,17.4,0,0,1,1,0,1
560,3,29.69911764705882,0,0,7.75,0,1,0,0,1,0
561,3,40.0,0,0,7.8958,0,0,1,0,1,0
562,2,28.0,0,0,13.5,0,0,1,0,1,0
563,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
564,3,29.69911764705882,0,0,8.05,0,0,1,1,0,0
565,3,24.0,2,0,24.15,0,0,1,0,1,0
566,3,19.0,0,0,7.8958,0,0,1,0,1,0
567,3,29.0,0,4,21.075,0,0,1,1,0,0
568,3,29.69911764705882,0,0,7.2292,1,0,0,0,1,0
569,3,32.0,0,0,7.8542,0,0,1,0,1,1
570,2,62.0,0,0,10.5,0,0,1,0,1,1
571,1,53.0,2,0,51.4792,0,0,1,1,0,1
572,1,36.0,0,0,26.3875,0,0,1,0,1,1
573,3,29.69911764705882,0,0,7.75,0,1,0,1,0,1
574,3,16.0,0,0,8.05,0,0,1,0,1,0
575,3,19.0,0,0,14.5,0,0,1,0,1,0
576,2,34.0,0,0,13.0,0,0,1,1,0,1
577,1,39.0,1,0,55.9,0,0,1,1,0,1
578,3,29.69911764705882,1,0,14.4583,1,0,0,1,0,0
579,3,32.0,0,0,7.925,0,0,1,0,1,1
580,2,25.0,1,1,30.0,0,0,1,1,0,1
581,1,39.0,1,1,110.8833,1,0,0,1,0,1
582,2,54.0,0,0,26.0,0,0,1,0,1,0
583,1,36.0,0,0,40.125,1,0,0,0,1,0
584,3,29.69911764705882,0,0,8.7125,1,0,0,0,1,0
585,1,18.0,0,2,79.65,0,0,1,1,0,1
586,2,47.0,0,0,15.0,0,0,1,0,1,0
587,1,60.0,1,1,79.2,1,0,0,0,1,1
588,3,22.0,0,0,8.05,0,0,1,0,1,0
589,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
590,3,35.0,0,0,7.125,0,0,1,0,1,0
591,1,52.0,1,0,78.2667,1,0,0,1,0,1
592,3,47.0,0,0,7.25,0,0,1,0,1,0
593,3,29.69911764705882,0,2,7.75,0,1,0,1,0,0
594,2,37.0,1,0,26.0,0,0,1,0,1,0
595,3,36.0,1,1,24.15,0,0,1,0,1,0
596,2,29.69911764705882,0,0,33.0,0,0,1,1,0,1
597,3,49.0,0,0,0.0,0,0,1,0,1,0
598,3,29.69911764705882,0,0,7.225,1,0,0,0,1,0
599,1,49.0,1,0,56.9292,1,0,0,0,1,1
600,2,24.0,2,1,27.0,0,0,1,1,0,1
601,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
602,1,29.69911764705882,0,0,42.4,0,0,1,0,1,0
603,3,44.0,0,0,8.05,0,0,1,0,1,0
604,1,35.0,0,0,26.55,1,0,0,0,1,1
605,3,36.0,1,0,15.55,0,0,1,0,1,0
606,3,30.0,0,0,7.8958,0,0,1,0,1,0
607,1,27.0,0,0,30.5,0,0,1,0,1,1
608,2,22.0,1,2,41.5792,1,0,0,1,0,1
